"Year","Country","Average Temperature"
1851,"United States",-0.0249509202453986
1852,"United States",-0.117950920245402
1853,"United States",-0.550950920245398
1854,"United States",0.760049079754598
1855,"United States",-0.0869509202453997
1856,"United States",0.574049079754602
1857,"United States",-0.174950920245401
1858,"United States",-0.332950920245402
1859,"United States",-0.636950920245397
1860,"United States",0.103049079754602
1861,"United States",-0.212950920245401
1862,"United States",-0.0769509202453982
1863,"United States",-0.308950920245401
1864,"United States",0.392049079754599
1865,"United States",-0.634950920245402
1866,"United States",0.234049079754602
1867,"United States",-0.433950920245401
1868,"United States",0.797049079754597
1869,"United States",-0.1769509202454
1870,"United States",0.743049079754602
1871,"United States",-0.077950920245403
1872,"United States",-0.379950920245399
1873,"United States",-0.0159509202453982
1874,"United States",0.6340490797546
1875,"United States",-0.160950920245398
1876,"United States",0.0790490797546006
1877,"United States",0.0160490797545982
1878,"United States",0.5840490797546
1879,"United States",0.251049079754598
1880,"United States",-0.594950920245399
1881,"United States",0.2240490797546
1882,"United States",-1.0769509202454
1883,"United States",-0.522950920245403
1884,"United States",-0.799950920245401
1885,"United States",-0.203950920245401
1886,"United States",0.417049079754598
1887,"United States",-0.0259509202453998
1888,"United States",-0.2559509202454
1889,"United States",-0.3229509202454
1890,"United States",0.0680490797546014
1891,"United States",-1.2199509202454
1892,"United States",-0.707950920245402
1893,"United States",-0.110950920245401
1894,"United States",-0.413950920245401
1895,"United States",-1.3259509202454
1896,"United States",-0.315950920245399
1897,"United States",-0.509950920245402
1898,"United States",-0.252950920245404
1899,"United States",-0.387950920245402
1900,"United States",-0.3109509202454
1901,"United States",0.973049079754603
1902,"United States",-0.756950920245398
1903,"United States",-0.895950920245401
1904,"United States",-1.1809509202454
1905,"United States",-1.0129509202454
1906,"United States",-0.899950920245399
1907,"United States",-0.782950920245401
1908,"United States",-0.440950920245399
1909,"United States",-0.559950920245399
1910,"United States",-0.0649509202454013
1911,"United States",-0.552950920245401
1912,"United States",-0.866950920245397
1913,"United States",-0.425950920245398
1914,"United States",-0.0159509202453982
1915,"United States",-1.0619509202454
1916,"United States",0.141049079754598
1917,"United States",0.0450490797545982
1918,"United States",-0.5289509202454
